feature,abs_pearson_corr,abs_spearman_corr,anova_f_score,mutual_information,rf_importance,permutation_importance_mean,lr_abs_coef_mean,abs_pearson_corr_norm,abs_spearman_corr_norm,anova_f_score_norm,mutual_information_norm,rf_importance_norm,permutation_importance_mean_norm,lr_abs_coef_mean_norm,combined_importance_score,rank_abs_pearson_corr,rank_abs_spearman_corr,rank_anova_f_score,rank_mutual_information,rank_rf_importance,rank_permutation_importance_mean,rank_lr_abs_coef_mean,average_rank
Reflectance,0.790155716242416,0.8349611518152065,506142.5078903649,1.4118707183052488,0.19815588258790853,0.3240641837359528,10.47764996009491,1.0,1.0,1.0,0.8746042551544978,0.8188584134865807,0.9691788622253161,1.0,0.9518059329809135,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.4285714285714286
loss,0.3457101516214754,0.22654215148592094,56412.82936692865,1.5930903824774343,0.24104276543954134,0.3343698427263201,10.224250534134908,0.4294588856534091,0.24788543752515083,0.10799513359756678,1.0,1.0,1.0,0.9756679044226529,0.6801439087426828,12.0,21.0,2.0,1.0,1.0,1.0,2.0,5.714285714285714
Position,0.13083028322878842,0.23207969781233623,9392.555521531845,0.589828141761009,0.11597353226499327,0.16459431545741326,4.168393588809581,0.15361453187304497,0.25473083392174917,0.014733970075125804,0.30578827344878823,0.4717443233253809,0.4922522740549088,0.39416820513108475,0.2981474874042975,30.0,20.0,9.0,4.0,3.0,3.0,3.0,10.285714285714286
P1,0.6130188151991489,0.6014229127678371,20213.148740915647,0.5198259692730263,0.034567847978707995,0.0,0.6657775777527077,0.7726068320665481,0.7113050210673962,0.03619579985861103,0.25734996185588327,0.127910642200971,0.0,0.057837579168125104,0.280457976602505,2.0,2.0,3.0,5.0,6.0,20.0,5.0,6.142857142857143
P2,0.6092588954217926,0.6013210871229836,19022.25366915192,0.5062344042271856,0.028361908883325123,0.0,0.4062399316399847,0.7677801693874948,0.7111791463818814,0.03383374938670169,0.24794521855539947,0.1016985797054915,0.0,0.032916075154413256,0.27076470551019743,3.0,3.0,4.0,6.0,7.0,20.0,6.0,7.0
P3,0.6005133036086351,0.5989382624457491,17207.15667971313,0.4740062164999972,0.019783208656102367,0.0,0.2798107916112594,0.7565533283615191,0.7082335494518011,0.03023364153327384,0.22564478210148547,0.0654646716651687,0.0,0.02077600850948596,0.2581294259461049,4.0,4.0,5.0,7.0,9.0,20.0,9.0,8.285714285714286
P4,0.5875041253459905,0.5916542158331455,15274.97000101906,0.4452171917197938,0.015600455500728149,0.0,0.18383673987906718,0.7398532605612408,0.6992291667350881,0.026401295120531482,0.20572408959728145,0.0477979518622943,0.0,0.011560321493440525,0.24722372648141094,5.0,5.0,6.0,8.0,11.0,20.0,15.0,10.0
P5,0.5683279054531634,0.5774685208959659,13090.66769334364,0.40939737180054303,0.01284146282124597,0.0,0.15682256701582908,0.7152364734054503,0.6816931138910708,0.022068896390392962,0.1809384074279421,0.036144777793447644,0.0,0.008966347834814163,0.23500685953473113,6.0,6.0,7.0,9.0,13.0,20.0,20.0,11.571428571428571
P6,0.5487710008177554,0.5599938728896939,11156.820654511395,0.38675549354426764,0.01193229163759326,0.0,0.11677184692695433,0.6901309958125483,0.6600913275686087,0.01823325677866028,0.1652712600374184,0.03230470596568446,0.0,0.005120569789137376,0.22445030227886537,7.0,7.0,8.0,10.0,15.0,20.0,28.0,13.571428571428571
P7,0.5205326572925646,0.5330604928097245,9368.80028903298,0.355783580540602,0.00839067285683213,0.0,0.13528718203081033,0.653881031216985,0.6267968588491051,0.014686853364791988,0.14384010841198214,0.017345949298939026,0.0,0.006898462148943852,0.2090641804701067,8.0,8.0,10.0,13.0,19.0,20.0,25.0,14.714285714285714
SNR,0.02288279250452549,0.026016569852493607,8445.355358894214,0.9034573256457805,0.09485059712173481,0.10027834982132695,2.3223684471411703,0.015040797424222346,0.0,0.012855270058475882,0.5228053686860397,0.3825272543929807,0.2999024942073028,0.21690789755504644,0.2071484403320097,33.0,34.0,11.0,3.0,4.0,4.0,4.0,13.285714285714286
P8,0.48274650421844256,0.49313410380189854,7850.044344561944,0.32530710066926005,0.010126766019767851,0.0,0.08164496065641237,0.6053744072389342,0.5774407102351247,0.011674515602708558,0.1227517739247006,0.02467869649246241,0.0,0.001747591532255526,0.1919525278608837,9.0,9.0,12.0,15.0,17.0,20.0,33.0,16.428571428571427
P9,0.44192840327609345,0.44746995205014806,6741.774506942647,0.29044895285049943,0.0063175747293853085,0.0,0.15162278885187735,0.5529756285110562,0.5209916619691022,0.009476346045188617,0.09863152500119002,0.008589792198343903,0.0,0.00846705112651678,0.17130457212162822,10.0,10.0,13.0,18.0,22.0,20.0,23.0,16.571428571428573
P10,0.3968184762339314,0.39737263498542935,5934.074878659494,0.2693419206877916,0.006521353340725664,0.0,0.16499907132153982,0.4950673713667213,0.4590624295077519,0.00787433480727014,0.084026421125675,0.00945049315167253,0.0,0.009751477806997082,0.15217607539515546,11.0,11.0,14.0,20.0,21.0,20.0,18.0,16.428571428571427
P11,0.3448638953353626,0.341591424332274,5294.811716720618,0.25715297510307566,0.006162323266405916,0.0,0.19566472543559388,0.4283725343813171,0.39010688929285187,0.006606404584756332,0.07559222653945998,0.007934055655077136,0.0,0.012696076532973711,0.13161545528377658,13.0,12.0,15.0,22.0,23.0,20.0,13.0,16.857142857142858
P12,0.28428592833484617,0.2769446531571664,4751.555707468416,0.2344402194694557,0.005254443145964126,0.0,0.2484415319089084,0.35060773358551406,0.31019193267337924,0.005528897301833981,0.059876035235487846,0.004099436898807261,0.0,0.017763847679300383,0.1068668404820461,14.0,15.0,16.0,24.0,28.0,20.0,11.0,18.285714285714285
P23,0.27493102232683636,0.2787544334987791,3763.001152824626,0.24356815814153565,0.007686430750171264,0.0,0.09738851161927238,0.33859870723159,0.31242914444531755,0.0035681739705615513,0.06619215260563144,0.014371437653235564,0.0,0.0032593297112347135,0.1054884208025101,15.0,14.0,25.0,23.0,20.0,20.0,30.0,21.0
P24,0.26667569172692346,0.2616430560189014,3941.6220734228614,0.2633792462177871,0.009978370211735414,0.0,0.1775424162360958,0.3280012215219713,0.2912764253822132,0.003922455082135124,0.07990052226225441,0.02405191622046339,0.0,0.01095592357937536,0.10544406629263041,17.0,17.0,24.0,21.0,18.0,20.0,16.0,19.0
P25,0.25673902969324647,0.2410373348475603,4047.296282940808,0.2787482283031806,0.011081713665285478,0.0,0.16827295430737346,0.3152453866551868,0.2658040733437754,0.004132051899166906,0.09053515711227803,0.028712114639095825,0.0,0.010065844871636483,0.10207066121730564,19.0,19.0,23.0,19.0,16.0,20.0,17.0,19.0
P22,0.27045885969340777,0.28009438122366154,3389.6425904443527,0.21392292981072059,0.005351743621497661,0.0,0.16497968758155632,0.332857728233202,0.3140855591797254,0.002827645447628269,0.04567900628324629,0.004510405505866646,0.0,0.009749616528061117,0.10138713731110426,16.0,13.0,27.0,26.0,25.0,20.0,19.0,20.857142857142858
P26,0.23743469911610457,0.21370451360351825,4146.421383928768,0.30043685706892154,0.012275524134040306,0.0,0.21883205095571406,0.29046414198557,0.2320158239958097,0.004328659053834118,0.10554269931903099,0.03375441913706297,0.0,0.014920665545720947,0.09728948700528983,20.0,22.0,19.0,17.0,14.0,20.0,12.0,17.714285714285715
P21,0.2601856001975781,0.27085988984445064,2951.212614242039,0.18691573127493477,0.005340464860875396,0.0,0.14293380144668652,0.31966979840039694,0.3026700783357774,0.001958052687743762,0.026991256297309557,0.004462767336403733,0.0,0.007632711146414217,0.09476923774343507,18.0,16.0,29.0,30.0,26.0,20.0,24.0,23.285714285714285
P27,0.21587627511457916,0.18886071053941808,4084.0031643117563,0.3214450902840458,0.015543454364750056,0.0,0.1879976377343821,0.26278928541707886,0.2013044457159496,0.004204857227293892,0.12007943882758403,0.04755719581947675,0.0,0.011959862115600742,0.09255644073185483,22.0,25.0,22.0,16.0,12.0,20.0,14.0,18.714285714285715
P28,0.19055603406649965,0.16613734193454202,4121.848255304229,0.342109042208961,0.01818022583934022,0.0,0.2983277507396066,0.23028533061798775,0.173214303187591,0.004279920108279562,0.13437795138091488,0.05869414344593279,0.0,0.02255405681249945,0.0890579579361722,25.0,26.0,20.0,14.0,10.0,20.0,8.0,17.571428571428573
P30,0.1347561651857296,0.12238544720402782,4606.9806580669365,0.3831281200753507,0.034866272428010534,3.7959348072647006e-05,0.30188278307725,0.15865424257061206,0.11912914617428785,0.005242143605591603,0.16276128298804327,0.1291710993525916,0.00011352503492283103,0.02289542059535882,0.08542383718877258,29.0,29.0,17.0,11.0,5.0,5.0,7.0,14.714285714285714
P29,0.1612285142730288,0.14448447292078423,4324.152972557578,0.36352928404230145,0.024331941678674536,0.0,0.26840060948114663,0.1926371749023166,0.14644748937047855,0.004681176242583699,0.1491997820676245,0.0846771828468559,0.0,0.01968037208058314,0.08533188250149178,26.0,28.0,18.0,12.0,8.0,20.0,10.0,17.428571428571427
P20,0.23201459817378953,0.2415665895269038,2440.5254853085385,0.15981076570120356,0.005160873261770013,0.0,0.08441472451602602,0.2835062810512689,0.26645832666488595,0.0009451433202468373,0.008235855978830257,0.003704225212953684,0.0,0.002013551720221536,0.08069476913548675,21.0,18.0,31.0,32.0,29.0,20.0,32.0,26.142857142857142
P13,0.21316364258091355,0.20085776533580965,4101.277874954751,0.21441149627124156,0.00502025461036451,0.0,0.1557061723600756,0.25930704031943597,0.2161349484028995,0.004239120311753509,0.046017071997601376,0.0031102933644420955,0.0,0.008859148612231391,0.07680966042976625,23.0,24.0,21.0,25.0,30.0,20.0,21.0,23.428571428571427
P19,0.19190374073212216,0.2023611306091468,2068.05925798024,0.14885037270154378,0.005320553121529651,0.0,0.15379041691159118,0.23201540089886094,0.21799337641744845,0.00020638467652507678,0.0006517637652728135,0.004378666002487541,0.0,0.008675192612730807,0.06627439776761794,24.0,23.0,33.0,33.0,27.0,20.0,22.0,26.0
P18,0.13656423005034202,0.15178059731215632,1964.004540655513,0.14790845548730447,0.004632801525955304,0.0,0.12224505432154162,0.16097528124167337,0.15546680237912713,0.0,0.0,0.001473805428207551,0.0,0.005646121908820401,0.04622314442254693,27.0,27.0,34.0,34.0,32.0,20.0,26.0,28.571428571428573
P14,0.13538218040500613,0.11705703940930977,3569.344567167002,0.19934005249188314,0.004948082364787681,0.0,0.12031564912061264,0.15945786724196764,0.11254228235997078,0.003184070752413634,0.03558832008901114,0.002805459014245784,0.0,0.0054608552233155775,0.04557697924013208,28.0,30.0,26.0,28.0,31.0,20.0,27.0,27.142857142857142
P17,0.07953495684798093,0.10074653915478529,2151.5144470128457,0.1651670357894388,0.004283864973271665,0.0,0.09198780627535309,0.08776598932084625,0.09237959060307577,0.00037191174378030096,0.01194215065924514,0.0,0.0,0.0027407394337884026,0.027885768822962266,31.0,31.0,32.0,31.0,34.0,20.0,31.0,30.0
P15,0.059701079644177195,0.03609459316989502,3079.100874337947,0.19993597784938544,0.004615803181075008,0.0,0.06344518457553966,0.06230495808899479,0.012458236994367987,0.0022117093971160025,0.03600067326501814,0.0014020094161175313,0.0,0.0,0.016339655308802065,32.0,33.0,28.0,27.0,33.0,20.0,34.0,29.571428571428573
P16,0.01116616852167118,0.036146329145701844,2565.9217466328905,0.18916769727014549,0.005498539155903625,0.0,0.10848469987505954,0.0,0.012522191901737903,0.0011938573381814227,0.028549514086971282,0.005130426692469842,0.0,0.004324815602377447,0.007388686517391129,34.0,32.0,30.0,29.0,24.0,20.0,29.0,28.285714285714285
